Organization,Designation,Division,District,Upazila,Employee,"Employee mobile",Email,"Organization contact"
"উপপরিচালকের কার্যালয়",উপপরিচালক,ঢাকা,ঢাকা,আদাবর,,,,
"উপজেলা মহিলা বিষয়ক কর্মকর্তার কার্যালয়,ধামরাই, ঢাকা।","উপজেলা মহিলা বিষয়ক কর্মকর্তা",ঢাকা,ঢাকা,ধামরাই,,,,"ধামরাই, ঢাকা।"
"উপজেলা মহিলা বিষয়ক কর্মকর্তার কার্যালয়,দোহার, ঢাকা।","উপজেলা মহিলা বিষয়ক কর্মকর্তা",ঢাকা,ঢাকা,দোহার,,,,"দোহার, ঢাকা।"
"উপজেলা মহিলা বিষয়ক কর্মকর্তার কার্যালয়,কেরানীগঞ্জ, ঢাকা","উপজেলা মহিলা বিষয়ক কর্মকর্তা",ঢাকা,ঢাকা,কেরানীগঞ্জ,,,,"কেরানীগঞ্জ, ঢাকা"
"উপজেলা মহিলা বিষয়ক কর্মকর্তার কার্যালয়,সাভার, ঢাকা।","উপজেলা মহিলা বিষয়ক কর্মকর্তা",ঢাকা,ঢাকা,সাভার,,,,"সাভার, ঢাকা।"
"উপপরিচালকের কার্যালয়",উপপরিচালক,ঢাকা,ফরিদপুর,আল্‌ফাডাঙ্গা,,,,
"উপজেলা মহিলা বিষয়ক কর্মকর্তার কার্যালয়,আলফাডাঙ্গা,ফরিদপুর,আলফাডাঙ্গা, ফরিদপুর।","উপজেলা মহিলা বিষয়ক কর্মকর্তা",ঢাকা,ফরিদপুর,আল্‌ফাডাঙ্গা,,,,"আলফাডাঙ্গা, ফরিদপুর।"
"উপজেলা মহিলা বিষয়ক কর্মকর্তার কার্যালয়,ভাঙ্গা, ফরিদপুর","উপজেলা মহিলা বিষয়ক কর্মকর্তা",ঢাকা,ফরিদপুর,ভাংগা,dwewew,015656565656,ss@yahoo.com,"ভাঙ্গা, ফরিদপুর"
"উপজেলা মহিলা বিষয়ক কর্মকর্তার কার্যালয়,বোয়ালমারী, ফরিদপুর","উপজেলা মহিলা বিষয়ক কর্মকর্তা",ঢাকা,ফরিদপুর,বোয়ালমারী,,,,"বোয়ালমারী, ফরিদপুর"
"উপজেলা মহিলা বিষয়ক কর্মকর্তার কার্যালয়,চরভ্রদাসন, ফরিদপুর","উপজেলা মহিলা বিষয়ক কর্মকর্তা",ঢাকা,ফরিদপুর,"চর ভদ্রাশন",,,,"চরভ্রদাসন, ফরিদপুর"
"উপজেলা মহিলা বিষয়ক কর্মকর্তার কার্যালয়,মধুখালী, ফরিদপুর","উপজেলা মহিলা বিষয়ক কর্মকর্তা",ঢাকা,ফরিদপুর,মধুখালী,,,,"মধুখালী, ফরিদপুর"
"উপজেলা মহিলা বিষয়ক কর্মকর্তার কার্যালয়,নগরকান্দা, ফরিদপুর","উপজেলা মহিলা বিষয়ক কর্মকর্তা",ঢাকা,ফরিদপুর,নগরকান্দা,,,,"নগরকান্দা, ফরিদপুর"
"উপজেলা মহিলা বিষয়ক কর্মকর্তার কার্যালয়,সালথা, ফরিদপুর","উপজেলা মহিলা বিষয়ক কর্মকর্তা",ঢাকা,ফরিদপুর,সালথা,,,,"সালথা, ফরিদপুর"
"উপপরিচালকের কার্যালয়",উপপরিচালক,ঢাকা,গাজীপুর,"গাজীপুর সদর",,,,
"উপজেলা মহিলা বিষয়ক কর্মকর্তার কার্যালয়,কালিয়াকৈর, গাজীপুর","উপজেলা মহিলা বিষয়ক কর্মকর্তা",ঢাকা,গাজীপুর,কালিয়াকৈর,,,,"কালিয়াকৈর, গাজীপুর"
"উপজেলা মহিলা বিষয়ক কর্মকর্তার কার্যালয়,কালিগঞ্জ, গাজীপুর","উপজেলা মহিলা বিষয়ক কর্মকর্তা",ঢাকা,গাজীপুর,কালিগঞ্জ,,,,"কালিগঞ্জ, গাজীপুর"
"উপজেলা মহিলা বিষয়ক কর্মকর্তার কার্যালয়,কালীগঞ্জ, গাজীপুর","উপজেলা মহিলা বিষয়ক কর্মকর্তা",ঢাকা,গাজীপুর,কালিগঞ্জ,,,,"উপজেলা মহিলা বিষয়ক কর্মকর্তার কার্যালয়,কালীগঞ্জ, গাজীপুর"
"উপজেলা মহিলা বিষয়ক কর্মকর্তার কার্যালয়,কাপাসিয়া, গাজীপুর","উপজেলা মহিলা বিষয়ক কর্মকর্তা",ঢাকা,গাজীপুর,কাপাসিয়া,,,,"কাপাসিয়া, গাজীপুর"
"উপজেলা মহিলা বিষয়ক কর্মকর্তার কার্যালয়,শ্রীপুর, গাজীপুর","উপজেলা মহিলা বিষয়ক কর্মকর্তা",ঢাকা,গাজীপুর,শ্রীপুর,,,,"শ্রীপুর, গাজীপুর"
"উপপরিচালকের কার্যালয়",উপপরিচালক,ঢাকা,গোপালগঞ্জ,"গোপালগঞ্জ সদর",,,,
"উপজেলা মহিলা বিষয়ক কর্মকর্তার কার্যালয়,কাশিয়ানী, গোপালগঞ্জ","উপজেলা মহিলা বিষয়ক কর্মকর্তা",ঢাকা,গোপালগঞ্জ,কাশিয়ানী,,,,"কাশিয়ানী, গোপালগঞ্জ"
